Triang 1, Triang 2
1: 3 8 10 12,1: 5 7 13 16 18
2: 4 6 9 12 14 15 17 19,2: 11 15
3: 1 7 8 10 12 13 16,3: 5 16 18
4: 2 9 11 14 15 17,4: 6 12 15 17 19
5: 8 10 18,5: 1 3 7 11 13 16 18
6: 2 17 19,6: 4 9 11 12 14 15 17 19
7: 3 10 13,7: 1 5 8 11 16 18
8: 1 3 5 10 13 18,8: 7 10 11 16
9: 2 4 11 14 15 19,9: 6 12 17
10: 1 3 5 7 8 12 13 16 18,10: 8 13 16
11: 4 9 17 19,11: 2 5 6 7 8 13 14 15 18
12: 1 2 3 10 14 15 16 19,12: 4 6 9 17
13: 3 7 8 10 18,13: 1 5 10 11 16
14: 2 4 9 12 15 19,14: 6 11 17
15: 2 4 9 12 14,15: 2 4 6 11 17 19
16: 3 10 12,16: 1 3 5 7 8 10 13 18
17: 2 4 6 11 19,17: 4 6 9 12 14 15
18: 5 8 10 13,18: 1 3 5 7 11 16
19: 2 6 9 11 12 14 17,19: 4 6 15
